prerequisite_course,target_course,relation_context
MATH 154,CSE 100,OR/complex
CSE 100,CSE 101,OR/complex
CSE 21,CSE 103,OR/complex
MATH 154,CSE 103,OR/complex
CSE 12,CSE 105,OR/complex
CSE 15L,CSE 105,OR/complex
CSE 20,CSE 105,OR/complex
CSE 21,CSE 105,OR/complex
MATH 100A,CSE 105,OR/complex
MATH 103A,CSE 105,OR/complex
MATH 109,CSE 105,OR/complex
MATH 15A,CSE 105,OR/complex
MATH 184,CSE 105,OR/complex
CSE 21,CSE 106,OR/complex
DSC 40B,CSE 106,OR/complex
MATH 154,CSE 106,OR/complex
MATH 18,CSE 106,OR/complex
MATH 20C,CSE 106,OR/complex
MATH 31AH,CSE 106,OR/complex
MATH 31BH,CSE 106,OR/complex
CSE 101,CSE 107,OR/complex
CSE 105,CSE 107,OR/complex
CSE 21,CSE 107,OR/complex
MATH 154,CSE 107,OR/complex
CSE 100,CSE 110,AND
CSE 110,CSE 112,AND
CSE 12,CSE 113,AND
CSE 21,CSE 113,AND
COGS 102C,CSE 118,AND
COGS 121,CSE 118,AND
COGS 184,CSE 118,AND
CSE 131,CSE 118,AND
CSE 132B,CSE 118,AND
ECE 111,CSE 118,AND
ECE 118,CSE 118,AND
ECE 191,CSE 118,AND
CSE 11,CSE 12,OR/complex
CSE 15L,CSE 12,OR/complex
CSE 8B,CSE 12,OR/complex
CSE 101,CSE 120,AND
CSE 110,CSE 120,AND
CSE 30,CSE 120,AND
CSE 101,CSE 123,AND
CSE 110,CSE 123,AND
CSE 30,CSE 123,AND
CSE 101,CSE 124,AND
CSE 110,CSE 124,AND
CSE 30,CSE 124,AND
CSE 123,CSE 127,OR/complex
CSE 124,CSE 127,OR/complex
MATH 154,CSE 127,OR/complex
CSE 12,CSE 130,AND
CSE 100,CSE 131,AND
CSE 105,CSE 131,AND
CSE 130,CSE 131,AND
CSE 100,CSE 132A,AND
CSE 132A,CSE 132B,AND
CSE 100,CSE 134B,AND
CSE 100,CSE 135,OR/complex
CSE 135,CSE 136,AND
CSE 30,CSE 140,OR/complex
MATH 109,CSE 140,OR/complex
MATH 15A,CSE 140,OR/complex
CSE 30,CSE 140L,OR/complex
MATH 109,CSE 140L,OR/complex
MATH 15A,CSE 140L,OR/complex
CSE 140,CSE 141,AND
CSE 140L,CSE 141,AND
CSE 30,CSE 141,AND
CSE 140,CSE 141L,AND
CSE 140L,CSE 141L,AND
CSE 30,CSE 141L,AND
CSE 140,CSE 143,OR/complex
CSE 141,CSE 148,AND
CSE 141L,CSE 148,AND
DSC 40B,CSE 150A,OR/complex
DSC 80,CSE 150A,OR/complex
ECE 109,CSE 150A,OR/complex
ECON 120A,CSE 150A,OR/complex
MATH 183,CSE 150A,OR/complex
MATH 20A,CSE 150A,OR/complex
MATH 31AH,CSE 150A,OR/complex
CSE 100,CSE 150B,OR/complex
DSC 40B,CSE 150B,OR/complex
DSC 80,CSE 150B,OR/complex
ECE 109,CSE 150B,OR/complex
ECON 120A,CSE 150B,OR/complex
MATH 183,CSE 150B,OR/complex
DSC 40B,CSE 151A,OR/complex
DSC 80,CSE 151A,OR/complex
ECE 109,CSE 151A,OR/complex
ECON 120A,CSE 151A,OR/complex
MATH 181A,CSE 151A,OR/complex
MATH 183,CSE 151A,OR/complex
MATH 31AH,CSE 151A,OR/complex
CSE 103,CSE 151B,OR/complex
ECE 109,CSE 151B,OR/complex
MATH 181A,CSE 151B,OR/complex
MATH 183,CSE 151B,OR/complex
MATH 20C,CSE 151B,OR/complex
CSE 100,CSE 152,OR/complex
CSE 101,CSE 152,OR/complex
DSC 40B,CSE 152,OR/complex
DSC 80,CSE 152,OR/complex
MATH 18,CSE 152,OR/complex
MATH 188,CSE 152,OR/complex
MATH 31AH,CSE 152,OR/complex
DSC 30,CSE 152A,AND
DSC 80,CSE 152A,AND
MATH 31AH,CSE 152A,AND
CSE 152,CSE 152B,OR/complex
CSE 152A,CSE 152B,OR/complex
COGS 118A,CSE 156,OR/complex
MATH 18,CSE 156,OR/complex
MATH 20C,CSE 156,OR/complex
MATH 31AH,CSE 156,OR/complex
MATH 31BH,CSE 156,OR/complex
DSC 40B,CSE 158,OR/complex
DSC 80,CSE 158,OR/complex
ECE 109,CSE 158,OR/complex
ECON 120A,CSE 158,OR/complex
MATH 181A,CSE 158,OR/complex
MATH 183,CSE 158,OR/complex
CSE 11,CSE 15L,OR/complex
CSE 12,CSE 15L,OR/complex
CSE 8B,CSE 15L,OR/complex
CSE 100,CSE 160,OR/complex
CSE 167,CSE 163,AND
CSE 167,CSE 164,AND
CSE 167,CSE 165,AND
DSC 80,CSE 166,OR/complex
MATH 18,CSE 166,OR/complex
MATH 31AH,CSE 166,OR/complex
CSE 100,CSE 167,OR/complex
CSE 167,CSE 168,AND
CSE 167,CSE 169,AND
COGS 1,CSE 170,OR/complex
COGS 187A,CSE 170,OR/complex
CSE 11,CSE 170,OR/complex
CSE 8B,CSE 170,OR/complex
DSGN 1,CSE 170,OR/complex
COGS 120,CSE 176A,OR/complex
CSE 110,CSE 176A,OR/complex
CSE 170,CSE 176A,OR/complex
BILD 1,CSE 180,AND
BILD 1,CSE 180R,OR/complex
BILD 4,CSE 180R,OR/complex
CSE 11,CSE 180R,OR/complex
CSE 3,CSE 180R,OR/complex
CSE 8A,CSE 180R,OR/complex
CSE 8B,CSE 180R,OR/complex
CHEM 114C,CSE 181,AND
CSE 100,CSE 182,OR/complex
BIMM 181,CSE 184,OR/complex
BIMM 182,CSE 184,OR/complex
CSE 181,CSE 184,OR/complex
CSE 182,CSE 184,OR/complex
BIEB 123,CSE 185,OR/complex
BILD 1,CSE 185,OR/complex
BILD 4,CSE 185,OR/complex
BIMM 101,CSE 185,OR/complex
CHEM 109,CSE 185,OR/complex
CSE 11,CSE 185,OR/complex
CSE 12,CSE 185,OR/complex
CSE 8B,CSE 185,OR/complex
MATH 20C,CSE 185,OR/complex
MATH 31BH,CSE 185,OR/complex
CSE 11,CSE 20,OR/complex
CSE 8B,CSE 20,OR/complex
CSE 20,CSE 21,OR/complex
MATH 15A,CSE 21,OR/complex
CSE 12,CSE 30,AND
CSE 15L,CSE 30,AND
MATH 10A,CSE 4GS,OR/complex
MATH 20A,CSE 4GS,OR/complex
MATH 10A,CSE 6GS,OR/complex
MATH 20A,CSE 6GS,OR/complex
CSE 11,CSE 80,OR/complex
CSE 8B,CSE 80,OR/complex
CSE 12,CSE 86,AND
CSE 8A,CSE 8B,AND
DSC 40B,DSC 100,AND
DSC 80,DSC 100,AND
DSC 100,DSC 102,AND
DSC 102,DSC 104,AND
DSC 80,DSC 106,AND
DSC 40B,DSC 120,OR/complex
MATH 18,DSC 120,OR/complex
MATH 20C,DSC 120,OR/complex
MATH 31AH,DSC 120,OR/complex
DSC 80,DSC 170,AND
CSE 158,DSC 180A,OR/complex
DSC 102,DSC 180A,OR/complex
MATH 189,DSC 180A,OR/complex
DSC 106,DSC 180B,AND
DSC 180A,DSC 180B,AND
DSC 10,DSC 20,AND
DSC 20,DSC 30,AND
DSC 10,DSC 40A,OR/complex
MATH 18,DSC 40A,OR/complex
MATH 20C,DSC 40A,OR/complex
MATH 31AH,DSC 40A,OR/complex
MATH 31BH,DSC 40A,OR/complex
DSC 40A,DSC 40B,AND
DSC 30,DSC 80,AND
DSC 40A,DSC 80,AND
DSC 20,DSC 97,OR/complex
DSC 40A,DSC 97,OR/complex
MATH 18,DSC 97,OR/complex
MATH 31AH,DSC 97,OR/complex
MATH 31BH,DSC 97,OR/complex
DSC 20,DSC 98,OR/complex
DSC 40A,DSC 98,OR/complex
MATH 18,DSC 98,OR/complex
MATH 31AH,DSC 98,OR/complex
MATH 31BH,DSC 98,OR/complex
DSC 20,DSC 99,OR/complex
DSC 40A,DSC 99,OR/complex
MATH 18,DSC 99,OR/complex
MATH 31AH,DSC 99,OR/complex
MATH 31BH,DSC 99,OR/complex
DSGN 1,DSGN 100,AND
COGS 10,DSGN 119,OR/complex
COMM 124A,DSGN 119,OR/complex
DSGN 1,DSGN 119,OR/complex
ECE 45,ECE 100,AND
ECE 65,ECE 100,AND
ECE 45,ECE 101,AND
ECE 100,ECE 102,AND
ECE 65,ECE 102,AND
ECE 65,ECE 103,OR/complex
PHYS 2D,ECE 103,OR/complex
PHYS 4D,ECE 103,OR/complex
ECE 45,ECE 107,AND
CSE 140,ECE 108,OR/complex
CSE 30,ECE 108,OR/complex
ECE 25,ECE 108,OR/complex
ECE 30,ECE 108,OR/complex
MATH 18,ECE 109,OR/complex
MATH 20C,ECE 109,OR/complex
MATH 20D,ECE 109,OR/complex
MATH 31AH,ECE 109,OR/complex
MATH 31BH,ECE 109,OR/complex
CSE 140,ECE 111,OR/complex
ECE 25,ECE 111,OR/complex
ECE 16,ECE 115,AND
CSE 30,ECE 118,OR/complex
ECE 30,ECE 118,OR/complex
ECE 35,ECE 118,OR/complex
ECE 35,ECE 121A,AND
ECE 121A,ECE 121B,AND
ECE 107,ECE 123,AND
ECE 121A,ECE 124,AND
ECE 35,ECE 128A,AND
ECE 103,ECE 134,AND
CSE 11,ECE 138L,OR/complex
CSE 8B,ECE 138L,OR/complex
ECE 15,ECE 138L,OR/complex
CSE 30,ECE 140B,OR/complex
ECE 30,ECE 140B,OR/complex
ECE 16,ECE 141B,AND
CSE 11,ECE 143,OR/complex
CSE 8B,ECE 143,OR/complex
ECE 15,ECE 143,OR/complex
ECE 107,ECE 144,AND
ECE 15,ECE 145AL-BL-CL,OR/complex
ECE 35,ECE 145AL-BL-CL,OR/complex
ECE 109,ECE 150,AND
ECE 101,ECE 153,AND
BENG 122A,ECE 154A,OR/complex
ECE 101,ECE 154A,OR/complex
ECE 109,ECE 154A,OR/complex
ECE 153,ECE 154A,OR/complex
ECON 120A,ECE 154A,OR/complex
MAE 108,ECE 154A,OR/complex
MATH 180A,ECE 154A,OR/complex
MATH 180B,ECE 154A,OR/complex
MATH 183,ECE 154A,OR/complex
MATH 186,ECE 154A,OR/complex
ECE 109,ECE 156,OR/complex
ECE 161A,ECE 156,OR/complex
ECON 120A,ECE 156,OR/complex
MAE 108,ECE 156,OR/complex
MATH 180A,ECE 156,OR/complex
MATH 180B,ECE 156,OR/complex
MATH 183,ECE 156,OR/complex
MATH 186,ECE 156,OR/complex
ECE 154A,ECE 157A,AND
ECE 109,ECE 157B,AND
ECE 153,ECE 158B,AND
ECE 101,ECE 159,AND
CSE 11,ECE 16,OR/complex
CSE 8B,ECE 16,OR/complex
ECE 15,ECE 16,OR/complex
ECE 161A,ECE 161B,AND
ECE 101,ECE 161C,AND
ECE 102,ECE 163,AND
ECE 102,ECE 164,AND
ECE 102,ECE 165,AND
ECE 45,ECE 166,OR/complex
CSE 11,ECE 17,OR/complex
CSE 8B,ECE 17,OR/complex
ECE 15,ECE 17,OR/complex
ECE 101,ECE 171B,AND
ECE 109,ECE 172A,OR/complex
ECE 15,ECE 172A,OR/complex
MATH 18,ECE 172A,OR/complex
ECE 109,ECE 174,AND
ECE 103,ECE 180,AND
ECE 103,ECE 181,AND
ECE 103,ECE 182,AND
ECE 182,ECE 183,AND
ECE 183,ECE 184,AND
ECE 101,ECE 185,AND
ECE 15,ECE 30,AND
MATH 18,ECE 35,AND
PHYS 2A,ECE 35,AND
ECE 35,ECE 45,AND
ECE 35,ECE 65,AND
ECON 1,ECON 100A,AND
MATH 10C,ECON 100A,AND
ECON 100A,ECON 100B,AND
ECON 100B,ECON 100C,AND
ECON 100B,ECON 101,AND
ECON 1,ECON 102,AND
MATH 20C,ECON 102,AND
ECON 102,ECON 103,AND
ECON 100C,ECON 105,AND
ECON 100B,ECON 106,AND
ECON 2,ECON 107,AND
ECON 100C,ECON 109,OR/complex
MATH 109,ECON 109,OR/complex
MATH 31CH,ECON 109,OR/complex
ECON 1,ECON 110A,AND
ECON 3,ECON 110A,AND
MATH 10C,ECON 110A,AND
ECON 110A,ECON 110B,AND
ECON 110B,ECON 111,AND
ECON 110B,ECON 112,OR/complex
ECON 120B,ECON 112,OR/complex
MATH 181B,ECON 112,OR/complex
ECON 100C,ECON 113,OR/complex
MATH 140A,ECON 113,OR/complex
MATH 142A,ECON 113,OR/complex
ECON 2,ECON 116,AND
ECON 100A,ECON 117,AND
ECON 2,ECON 118,AND
ECON 2,ECON 119,AND
MATH 10A,ECON 119,AND
ECON 1,ECON 120A,AND
ECE 109,ECON 120B,OR/complex
ECON 120A,ECON 120B,OR/complex
MAE 108,ECON 120B,OR/complex
MATH 180A,ECON 120B,OR/complex
MATH 183,ECON 120B,OR/complex
MATH 186,ECON 120B,OR/complex
ECON 120B,ECON 120C,OR/complex
MATH 181B,ECON 120C,OR/complex
ECON 120C,ECON 121,AND
ECON 120B,ECON 122,OR/complex
MATH 18,ECON 122,OR/complex
MATH 181B,ECON 122,OR/complex
MATH 31AH,ECON 122,OR/complex
ECON 120B,ECON 125,OR/complex
MATH 181B,ECON 125,OR/complex
ECON 2,ECON 130,AND
ECON 2,ECON 131,AND
ECON 1,ECON 132,OR/complex
MAE 124,ECON 132,OR/complex
MATH 10C,ECON 132,OR/complex
ECON 100A,ECON 134,AND
ECON 2,ECON 135,AND
ECON 100B,ECON 136,AND
ECON 1,ECON 138,AND
ECON 2,ECON 139,AND
ECON 2,ECON 140,AND
ECON 100C,ECON 141,AND
ECON 109,ECON 142,AND
ECON 100C,ECON 143,AND
ECON 2,ECON 144,AND
ECON 2,ECON 145,AND
ECON 110B,ECON 146,AND
ECON 2,ECON 147,AND
ECON 100C,ECON 150,AND
ECON 100C,ECON 151,AND
ECON 100C,ECON 152,AND
ECON 1,ECON 162,AND
ECON 1,ECON 164,AND
ECON 1,ECON 165,AND
ECON 1,ECON 167,AND
ECON 1,ECON 168,AND
ECON 3,ECON 169,AND
ECE 109,ECON 171,OR/complex
ECON 100A,ECON 171,OR/complex
ECON 120A,ECON 171,OR/complex
MATH 180A,ECON 171,OR/complex
MATH 183,ECON 171,OR/complex
MATH 186,ECON 171,OR/complex
ECON 100A,ECON 172A,AND
ECON 172A,ECON 172B,OR/complex
MATH 171A,ECON 172B,OR/complex
ECON 100A,ECON 173A,OR/complex
ECON 120B,ECON 173A,OR/complex
MATH 181B,ECON 173A,OR/complex
ECON 4,ECON 173B,OR/complex
MGT 4,ECON 173B,OR/complex
ECON 173A,ECON 174,AND
ECON 120C,ECON 176,AND
ECON 120C,ECON 178,AND
ECON 1,ECON 181,AND
ECON 3,ECON 181,AND
ECON 100C,ECON 182,AND
ECON 110B,ECON 183,AND
ECON 1,ECON 2,AND
ECON 1,ECON 3,AND
PHYS 1A,EDS 105/PHYS 180,OR/complex
PHYS 1B,EDS 105/PHYS 180,OR/complex
PHYS 1C,EDS 105/PHYS 180,OR/complex
PHYS 2A,EDS 105/PHYS 180,OR/complex
PHYS 2B,EDS 105/PHYS 180,OR/complex
PHYS 2C,EDS 105/PHYS 180,OR/complex
PHYS 2D,EDS 105/PHYS 180,OR/complex
PHYS 4A,EDS 105/PHYS 180,OR/complex
PHYS 4B,EDS 105/PHYS 180,OR/complex
PHYS 4C,EDS 105/PHYS 180,OR/complex
ANTH 21,EDS 120,OR/complex
ANTH 23,EDS 120,OR/complex
DOC 1,EDS 120,OR/complex
DOC 100D,EDS 120,OR/complex
EDS 112,EDS 120,OR/complex
EDS 113,EDS 120,OR/complex
EDS 117,EDS 120,OR/complex
EDS 125,EDS 120,OR/complex
EDS 126,EDS 120,OR/complex
EDS 136,EDS 120,OR/complex
ETHN 2,EDS 120,OR/complex
ETHN 3,EDS 120,OR/complex
POLI 100H,EDS 120,OR/complex
POLI 100O,EDS 120,OR/complex
POLI 100Q,EDS 120,OR/complex
POLI 108,EDS 120,OR/complex
USP 129,EDS 120,OR/complex
EDS 130,EDS 140,OR/complex
EDS 131,EDS 140,OR/complex
EDS 136,EDS 140,OR/complex
EDS 137,EDS 140,OR/complex
EDS 138,EDS 140,OR/complex
EDS 130,EDS 141,OR/complex
EDS 131,EDS 141,OR/complex
EDS 136,EDS 141,OR/complex
EDS 137,EDS 141,OR/complex
EDS 138,EDS 141,OR/complex
CAT 2,ENG 100A,AND
DOC 2,ENG 100A,AND
HUM 2,ENG 100A,AND
ENG 100A,ENG 100B,OR/complex
CAT 2,ENG 100D,OR/complex
DOC 2,ENG 100D,OR/complex
HUM 2,ENG 100D,OR/complex
ENG 100A,ENG 100L,OR/complex
ENG 100D,ENG 100L,OR/complex
BILD 1,ESYS 101,AND
ESYS 190A,ESYS 190B,OR/complex
ETHN 1,ETHN 100A,OR/complex
ETHN 2,ETHN 100A,OR/complex
ETHN 3,ETHN 100A,OR/complex
ETHN 100A,ETHN 100B,AND
ETHN 100A,ETHN 100C,AND
ETHN 100B,ETHN 100C,AND
ETHN 100A,ETHN 100H,AND
ETHN 100B,ETHN 100H,AND
ETHN 100A,ETHN 190,AND
ETHN 100B,ETHN 190,AND
ETHN 100H,ETHN 190,AND
FMPH 40,FMPH 101,AND
FMPH 40,FMPH 102,AND
FMPH 40,FMPH 110,AND
FMPH 40,FMPH 120,AND
FMPH 101,FMPH 130,AND
FMPH 50,FMPH 130,AND
FMPH 101,FMPH 180A,OR/complex
FMPH 102,FMPH 180A,OR/complex
FMPH 110,FMPH 180A,OR/complex
FMPH 40,FMPH 180A,OR/complex
FMPH 50,FMPH 180A,OR/complex
FMPH 180B,FMPH 180C,AND
FMPH 40,FMPH 191,AND
FMPH 101,FMPH 193,AND
FMPH 102,FMPH 193,AND
FMPH 110,FMPH 193,AND
FMPH 40,FMPH 193,AND
FMPH 50,FMPH 193,AND
FMPH 101,FMPH 194,AND
FMPH 102,FMPH 194,AND
FMPH 110,FMPH 194,AND
FMPH 120,FMPH 194,AND
FMPH 193,FMPH 194,AND
FMPH 40,FMPH 194,AND
FMPH 50,FMPH 194,AND
FMPH 101,FMPH 196A,OR/complex
FMPH 102,FMPH 196A,OR/complex
FMPH 110,FMPH 196A,OR/complex
FMPH 40,FMPH 196A,OR/complex
FMPH 50,FMPH 196A,OR/complex
FMPH 196A,FMPH 196B,AND
FMPH 196B,FMPH 196C,AND
COGS 14B,GLBH 102,OR/complex
FMPH 40,GLBH 102,OR/complex
GLBH 20,GLBH 102,OR/complex
MATH 11,GLBH 102,OR/complex
PSYC 60,GLBH 102,OR/complex
GLBH 150A,GLBH 150B,AND
HDS 1,HDS 110,OR/complex
PSYC 101,HDS 110,OR/complex
ANTH 2,HDS 111,OR/complex
BILD 3,HDS 111,OR/complex
HDS 1,HDS 111,OR/complex
HDS 1,HDS 120,OR/complex
COGS 1,HDS 121,OR/complex
HDS 1,HDS 121,OR/complex
HDS 1,HDS 122,OR/complex
HDS 1,HDS 133,OR/complex
PSYC 1,HDS 133,OR/complex
HDS 181,HDS 150,OR/complex
BIEB 100,HDS 181,OR/complex
COGS 14B,HDS 181,OR/complex
ECON 120A,HDS 181,OR/complex
HDS 1,HDS 181,OR/complex
MATH 11,HDS 181,OR/complex
PSYC 60,HDS 181,OR/complex
HUM 1,HUM 3,OR/complex
HUM 2,HUM 3,OR/complex
JAPN 20C,JAPN 130C,AND
LATI 122A,LATI 122B,AND
LATI 122B,LATI 122C,AND
LATI 50,LATI 180,AND
LATI 50,LATI 190,AND
LATI 50,LATI 191,AND
LATI 50,LATI 199,AND
CAT 2,LTEN 30,AND
DOC 2,LTEN 30,AND
HUM 1,LTEN 30,AND
CAT 2,LTWR 100,AND
DOC 2,LTWR 100,AND
HUM 1,LTWR 100,AND
CAT 2,LTWR 8B,AND
DOC 2,LTWR 8B,AND
HUM 1,LTWR 8B,AND
CAT 2,LTWR 8C,AND
DOC 2,LTWR 8C,AND
HUM 1,LTWR 8C,AND
PHYS 2A,MAE 03,AND
MATH 20A,MAE 08,AND
MAE 11,MAE 101A,OR/complex
MAE 101A,MAE 101B,AND
MAE 105,MAE 101B,AND
MAE 101A,MAE 101D,AND
MATH 20D,MAE 104,AND
PHYS 2A,MAE 104,AND
MATH 18,MAE 105,AND
MATH 18,MAE 107,AND
MAE 11,MAE 108,AND
CHEM 6A,MAE 11,AND
PHYS 2C,MAE 11,AND
MAE 101A,MAE 110,OR/complex
MAE 101B,MAE 110,OR/complex
MAE 11,MAE 110,OR/complex
MATH 20D,MAE 113,AND
MAE 101A,MAE 117A,AND
MAE 101A,MAE 118,AND
MAE 101A,MAE 119,AND
MAE 122,MAE 120,AND
MAE 101A,MAE 121,AND
MAE 105,MAE 122,AND
MATH 20B,MAE 123,AND
MAE 101A,MAE 125,AND
MAE 30B,MAE 126B,OR/complex
MATH 18,MAE 126B,OR/complex
MATH 31AH,MAE 126B,OR/complex
MATH 20D,MAE 130,OR/complex
SE 101A,MAE 130,OR/complex
MAE 105,MAE 131A,AND
SE 110A,MAE 131A,AND
MAE 131A,MAE 131B,OR/complex
SE 110A,MAE 131B,OR/complex
ECE 171A,MAE 133,OR/complex
MAE 104,MAE 133,OR/complex
MAE 143B,MAE 133,OR/complex
MATH 18,MAE 142,AND
MATH 20D,MAE 142,AND
MATH 20E,MAE 142,AND
BENG 122A,MAE 143B,OR/complex
ECE 171A,MAE 143B,OR/complex
ECE 15,MAE 145,OR/complex
ECE 35,MAE 145,OR/complex
BENG 110,MAE 149,OR/complex
MAE 107,MAE 149,OR/complex
SE 101A,MAE 149,OR/complex
MAE 104,MAE 154,OR/complex
MAE 21,MAE 154,OR/complex
SE 104,MAE 154,OR/complex
SE 160B,MAE 154,OR/complex
SE 2,MAE 154,OR/complex
MAE 113,MAE 155A,AND
MAE 142,MAE 155A,AND
MAE 170,MAE 155A,AND
MAE 131A,MAE 155B,AND
MAE 143B,MAE 155B,AND
MAE 150,MAE 155B,AND
MAE 170,MAE 155B,AND
MAE 101C,MAE 156A,OR/complex
MAE 131B,MAE 156A,OR/complex
MAE 160,MAE 156A,OR/complex
MAE 131A,MAE 156B,OR/complex
MAE 20,MAE 156B,OR/complex
SE 101A,MAE 156B,OR/complex
PHYS 2C,MAE 167,OR/complex
PHYS 4B,MAE 167,OR/complex
MAE 101A,MAE 170,AND
CHEM 6A,MAE 20,OR/complex
CHEM 6AH,MAE 20,OR/complex
MATH 20C,MAE 20,OR/complex
PHYS 2A,MAE 20,OR/complex
CHEM 6A,MAE 21,OR/complex
CHEM 6AH,MAE 21,OR/complex
MATH 20B,MAE 21,OR/complex
PHYS 2A,MAE 21,OR/complex
MATH 20C,MAE 30A,OR/complex
MATH 31BH,MAE 30A,OR/complex
PHYS 2A,MAE 30A,OR/complex
MAE 30A,MAE 30B,AND
MATH 18,MAE 40,OR/complex
MATH 20D,MAE 40,OR/complex
MATH 31AH,MAE 40,OR/complex
PHYS 2B,MAE 40,OR/complex
MATH 20D,MAE 99H,OR/complex
MATH 20E,MAE 99H,OR/complex
MATH 31CH,MAE 99H,OR/complex
PHYS 2A,MAE 99H,OR/complex
MATH 109,MATH 100A,OR/complex
MATH 31CH,MATH 100A,OR/complex
MATH 100A,MATH 100B,AND
MATH 100B,MATH 100C,AND
MATH 18,MATH 102,OR/complex
MATH 20C,MATH 102,OR/complex
MATH 31AH,MATH 102,OR/complex
MATH 109,MATH 103A,OR/complex
MATH 31CH,MATH 103A,OR/complex
MATH 100A,MATH 103B,OR/complex
MATH 103A,MATH 103B,OR/complex
MATH 100B,MATH 104A,OR/complex
MATH 103B,MATH 104A,OR/complex
MATH 104A,MATH 104B,AND
MATH 109,MATH 105,OR/complex
MATH 31CH,MATH 105,OR/complex
MATH 100B,MATH 106,OR/complex
MATH 103B,MATH 106,OR/complex
MATH 18,MATH 109,OR/complex
MATH 20C,MATH 109,OR/complex
MATH 31AH,MATH 109,OR/complex
MATH 3C,MATH 10A,OR/complex
MATH 4C,MATH 10A,OR/complex
MATH 10A,MATH 10B,OR/complex
MATH 20A,MATH 10B,OR/complex
MATH 10B,MATH 10C,OR/complex
MATH 20B,MATH 10C,OR/complex
MATH 10B,MATH 11,OR/complex
MATH 20B,MATH 11,OR/complex
MATH 18,MATH 110,OR/complex
MATH 20D,MATH 110,OR/complex
MATH 20E,MATH 110,OR/complex
MATH 31AH,MATH 110,OR/complex
MATH 31CH,MATH 110,OR/complex
MATH 109,MATH 111A,OR/complex
MATH 18,MATH 111A,OR/complex
MATH 20D,MATH 111A,OR/complex
MATH 31AH,MATH 111A,OR/complex
MATH 31CH,MATH 111A,OR/complex
MATH 111A,MATH 111B,AND
BILD 1,MATH 112A,OR/complex
MATH 11,MATH 112A,OR/complex
MATH 18,MATH 112A,OR/complex
MATH 180A,MATH 112A,OR/complex
MATH 183,MATH 112A,OR/complex
MATH 186,MATH 112A,OR/complex
MATH 20D,MATH 112A,OR/complex
MATH 31AH,MATH 112A,OR/complex
MATH 110,MATH 112B,AND
MATH 112A,MATH 112B,AND
MATH 180A,MATH 112B,AND
MATH 180A,MATH 114,AND
MATH 20E,MATH 120A,OR/complex
MATH 31CH,MATH 120A,OR/complex
MATH 120A,MATH 120B,AND
MATH 18,MATH 130,OR/complex
MATH 20D,MATH 130,OR/complex
MATH 31AH,MATH 130,OR/complex
MATH 109,MATH 140A,OR/complex
MATH 31CH,MATH 140A,OR/complex
MATH 140A,MATH 140B,AND
MATH 140B,MATH 140C,AND
MATH 109,MATH 142A,OR/complex
MATH 31CH,MATH 142A,OR/complex
MATH 140A,MATH 142B,OR/complex
MATH 142A,MATH 142B,OR/complex
MATH 140B,MATH 144,OR/complex
MATH 142B,MATH 144,OR/complex
MATH 140B,MATH 146,OR/complex
MATH 142B,MATH 146,OR/complex
MATH 140B,MATH 148,OR/complex
MATH 142B,MATH 148,OR/complex
MATH 18,MATH 150A,OR/complex
MATH 20E,MATH 150A,OR/complex
MATH 31AH,MATH 150A,OR/complex
MATH 150A,MATH 150B,AND
MATH 18,MATH 152,OR/complex
MATH 20D,MATH 152,OR/complex
MATH 31AH,MATH 152,OR/complex
MATH 109,MATH 153,OR/complex
MATH 31CH,MATH 153,OR/complex
MATH 109,MATH 154,OR/complex
MATH 31CH,MATH 154,OR/complex
MATH 18,MATH 155A,OR/complex
MATH 20C,MATH 155A,OR/complex
MATH 31AH,MATH 155A,OR/complex
MATH 155A,MATH 155B,AND
MATH 18,MATH 157,OR/complex
MATH 20D,MATH 157,OR/complex
MATH 31AH,MATH 157,OR/complex
MATH 109,MATH 158,OR/complex
MATH 31CH,MATH 158,OR/complex
CSE 11,MATH 15A,OR/complex
CSE 8B,MATH 15A,OR/complex
MATH 100A,MATH 160A,OR/complex
MATH 103A,MATH 160A,OR/complex
MATH 140A,MATH 160A,OR/complex
MATH 160A,MATH 160B,AND
MATH 20B,MATH 163,AND
MATH 18,MATH 168A,OR/complex
MATH 20C,MATH 168A,OR/complex
MATH 31AH,MATH 168A,OR/complex
MATH 18,MATH 170A,OR/complex
MATH 20C,MATH 170A,OR/complex
MATH 31AH,MATH 170A,OR/complex
MATH 170A,MATH 170B,AND
MATH 170B,MATH 170C,AND
MATH 20D,MATH 170C,AND
MATH 18,MATH 171A,OR/complex
MATH 20C,MATH 171A,OR/complex
MATH 31AH,MATH 171A,OR/complex
MATH 171A,MATH 171B,AND
MATH 20C,MATH 173A,OR/complex
MATH 31BH,MATH 173A,OR/complex
MATH 173A,MATH 173B,AND
MATH 31AH,MATH 174,OR/complex
MATH 174,MATH 175,OR/complex
MATH 174,MATH 179,OR/complex
MATH 10A,MATH 18,OR/complex
MATH 20A,MATH 18,OR/complex
MATH 3C,MATH 18,OR/complex
MATH 4C,MATH 18,OR/complex
MATH 31BH,MATH 180A,AND
MATH 109,MATH 180B,OR/complex
MATH 18,MATH 180B,OR/complex
MATH 180A,MATH 180B,OR/complex
MATH 20D,MATH 180B,OR/complex
MATH 31AH,MATH 180B,OR/complex
MATH 31CH,MATH 180B,OR/complex
MATH 180B,MATH 180C,AND
MATH 18,MATH 181A,OR/complex
