prerequisite_course,target_course,relation_context
BILD 1,BILD 2,AND
BILD 1,BILD 60,AND
BILD 2,BILD 60,AND
BILD 1,BIMM 100,AND
BIBC 100,BIMM 101,OR/complex
BIBC 102,BIMM 101,OR/complex
BICD 100,BIMM 101,OR/complex
BIMM 100,BIMM 101,OR/complex
CHEM 114A,BIMM 101,OR/complex
CHEM 114B,BIMM 101,OR/complex
BIMM 100,BIMM 110,AND
BIMM 100,BIMM 112,AND
BILD 1,BIMM 114,OR/complex
PSYC 106,BIMM 114,OR/complex
PSYC 2,BIMM 114,OR/complex
BIBC 100,BIMM 116B,OR/complex
BIBC 102,BIMM 116B,OR/complex
BIPN 100,BIMM 116B,OR/complex
CHEM 114A,BIMM 116B,OR/complex
CHEM 114B,BIMM 116B,OR/complex
BIBC 100,BIMM 118,OR/complex
BIBC 102,BIMM 118,OR/complex
BILD 3,BIMM 118,OR/complex
BIMM 100,BIMM 118,OR/complex
CHEM 114A,BIMM 118,OR/complex
CHEM 114B,BIMM 118,OR/complex
BILD 1,BIMM 120,AND
BIMM 100,BIMM 121,AND
BIBC 100,BIMM 122,OR/complex
BIBC 102,BIMM 122,OR/complex
CHEM 114A,BIMM 122,OR/complex
CHEM 114B,BIMM 122,OR/complex
BIBC 100,BIMM 124,OR/complex
BIBC 102,BIMM 124,OR/complex
CHEM 114A,BIMM 124,OR/complex
CHEM 114B,BIMM 124,OR/complex
BILD 1,BIMM 130,AND
BIEB 123,BIMM 134,OR/complex
BILD 1,BIMM 134,OR/complex
BILD 4,BIMM 134,OR/complex
BIMM 101,BIMM 134,OR/complex
BILD 1,BIMM 140,AND
BILD 2,BIMM 140,AND
BIBC 100,BIMM 143,OR/complex
CHEM 114A,BIMM 143,OR/complex
BIBC 100,BIMM 149,OR/complex
CHEM 114A,BIMM 149,OR/complex
BILD 70,BIMM 162,AND
BICD 100,BIMM 164,AND
BIMM 100,BIMM 164,AND
BILD 1,BIMM 170,OR/complex
BILD 4,BIMM 170,OR/complex
BIMM 101,BIMM 170,OR/complex
BIMM 100,BIMM 172,OR/complex
CHEM 114C,BIMM 172,OR/complex
CSE 100,BIMM 172,OR/complex
CSE 101,BIMM 172,OR/complex
MATH 188,BIMM 172,OR/complex
CSE 100,BIMM 174,OR/complex
BIMM 182,BIMM 181,OR/complex
CSE 181,BIMM 181,OR/complex
CSE 182,BIMM 181,OR/complex
BENG 183,BIMM 182,OR/complex
BIMM 181,BIMM 182,OR/complex
BIMM 184,BIMM 182,OR/complex
CSE 181,BIMM 182,OR/complex
CSE 182,BIMM 182,OR/complex
CSE 184,BIMM 182,OR/complex
BIMM 100,BIMM 184,AND
BILD 1,BIMM 185,AND
BILD 2,BIMM 185,AND
BIPN 100,BIMM 194,AND
BILD 2,BIPN 100,AND
